Date,Yellow,Red,Orange,Blue,Green,Brown,Total
2018-01-31,15024,1069773,787198,1311255,703816,496652,4383718
2018-02-01,15946,1067679,781466,1330035,697837,493149,4386112
2018-02-02,15856,1134540,814544,1443501,743288,522350,4674079
2018-02-03,10896,900244,617373,1217482,564118,355366,3665479
2018-02-04,9176,792624,519878,1046122,483658,281258,3132716
2018-02-05,14704,1036942,776224,1300771,688736,475062,4292439
2018-02-06,14762,1115845,784256,1324114,723262,483543,4445782
2018-02-07,15298,1097398,793191,1341958,716810,494923,4459578
2018-02-08,15552,1150613,809981,1378747,734097,504716,4593706
2018-02-09,16063,1217736,844036,1499325,778686,541297,4897143
2018-02-10,11040,1019742,650962,1278305,648763,357505,3966317
2018-02-11,9010,912682,559483,1143194,559993,305196,3489558
2018-02-12,14256,1115138,772837,1364307,704835,485780,4457153
2018-02-13,14244,1095258,755252,1352988,688956,478694,4385392
2018-02-14,12495,1005881,671342,1256777,606274,419954,3972723
2018-02-15,5211,468264,284376,519081,230458,149044,1656434
2018-02-16,7458,874556,451164,903327,358889,239978,2835372
2018-02-17,7662,918812,444660,909430,382473,248149,2911186
2018-02-18,8832,1139474,499380,1073432,447628,320322,3489068
2018-02-19,9930,1083075,531616,1104198,480909,323995,3533723
2018-02-20,8976,925220,503894,1018076,442514,292493,3191173
2018-02-21,13648,1046741,727451,1226612,630417,455496,4100365
2018-02-22,14567,1062140,760320,1270294,666531,485705,4259557
2018-02-23,15512,1178959,807071,1385822,724305,517090,4628759
2018-02-24,11130,1086444,657831,1309826,643700,365436,4074367
2018-02-25,9509,908654,544590,1079054,517987,294424,3354218
2018-02-26,15037,1113257,787066,1267796,691710,492050,4366916
2018-02-27,15832,1197432,824819,1368136,752144,536598,4694961
2018-02-28,9082,869662,556567,1092499,530388,320051,3378249
2018-03-01,15053,1124636,792159,1277490,706362,501084,4416784
2018-03-02,15666,1201635,827937,1390028,764314,541202,4740782
2018-03-03,12064,1126983,712408,1391364,752905,384150,4379874
2018-03-04,9494,980735,568541,1086107,557990,320384,3523251
2018-03-05,14634,1072720,776122,1226842,671282,490810,4252410
2018-03-06,15314,1094754,795853,1237752,695239,505404,4344316
2018-03-07,15260,1120107,803454,1264270,705284,509524,4417899
2018-03-08,15960,1105104,818646,1294972,720302,515309,4470293
2018-03-09,16421,1236666,854274,1415638,774422,544696,4842117
2018-03-10,12427,1176836,707606,1294506,729321,403476,4324172
2018-03-11,10034,1044214,582720,1112471,611250,342066,3702755
2018-03-12,14796,1104031,780519,1232534,681566,489106,4302552
2018-03-13,15062,1123644,793496,1248746,697305,506987,4385240
2018-03-14,15268,1138195,799468,1276344,711204,512783,4453262
2018-03-15,15332,1131984,804348,1302784,710208,521390,4486046
2018-03-16,16301,1255800,849276,1458916,770047,553063,4903403
2018-03-17,11618,1163951,692868,1331988,664868,392982,4258275
2018-03-18,10148,1103479,586770,1145231,548734,344056,3738418
2018-03-19,14988,1139939,776713,1228532,670813,489191,4320176
2018-03-20,15136,1086551,794614,1240874,697019,503805,4337999
2018-03-21,15056,1121964,800388,1263346,703891,512546,4417191
2018-03-22,15428,1142995,801434,1269768,702121,511516,4443262
2018-03-23,16468,1259082,840960,1408613,766740,541583,4833446
2018-03-24,12448,1176228,682386,1274836,664777,408624,4219299
